Province,Women Life Satisfaction Rate (Age 15-24),Women Job Satisfaction Rate (Age 15-24)
Azarbaijan_East,70.27,68.68
Azarbaijan_West,78.01,70.86
Ardabil,70.63,67.87
Isfahan,66.68,77.23
Alborz,67.15,72.72
Ilam,75.58,68.49
Bushehr,69.7,80.43
Tehran,65.86,87.67
Chaharmahal_and_Bakhtiari,73.12,83.23
Khorasan_South,77.89,65.04
Khorasan_Razavi,75.55,85.78
Khorasan_North,65.58,82.32
Khuzestan,68.76,82.25
Zanjan,72.99,75.19
Semnan,76.12,84.34
Sistan_and_Baluchestan,77.8,83.06
Fars,71.93,88.37
Qazvin,79.36,70.67
Qom,73.75,100
Kurdistan,67.27,87.55
Kerman,73.68,71.79
Kohgiluye_and_Boyer-Ahmad,68.28,90.82
Golestan,73.44,88.07
Gilan,70.28,92.4
Lorestan,79.3,73.06
Mazandaran,74.29,84.24
Markazi,74.29,84.24
Hormozgan,73.09,73.72
Hamedan,68.21,83.55
Yazd,73.23,100